date,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25
2016-02-01,1415.5,761.9,18071.57,4556.15,827.79,213.36,1787.6699999999998,156.47,171.18,945.3,1410.14,96.28999999999999,333.68,1687.05,351.27,1016.6899999999999,491.9,2929.29,1067.31,3626.05,1874.63,1417.32,1579.17,750.6899999999999,1450.28
2016-03-01,2119.15,2328.2799999999997,33610.11,9798.599999999999,2753.35,384.26,3708.3199999999997,2302.14,398.82,1577.86,3202.7200000000003,294.79999999999995,773.09,2437.63,985.8499999999999,2053.54,993.24,6142.139999999999,1918.1599999999999,6735.49,6700.87,3365.1099999999997,3607.13,3255.15,1808.82
2016-04-01,2973.62,4430.28,62457.19,14963.159999999998,4218.7,556.52,5759.61,2792.85,675.4000000000001,2238.88,5336.14,487.91999999999996,1070.87,3590.33,1373.6999999999998,3059.63,1626.15,9688.56,2875.87,15744.67,8496.05,4793.12,5505.51,4904.64,3249.6899999999996
2016-05-01,4496.49,5235.42,73734.24,17658.21,5641.69,815.3,8410.32,3139.72,848.6600000000001,3013.88,8230.25,707.73,1198.2199999999998,4651.5599999999995,2710.0299999999997,4083.01,1794.3700000000001,13875.5,3726.2799999999997,19928.42,10534.56,7689.57,6751.1900000000005,7341.18,4326.15
2016-06-01,5760.67,6939.87,98008.44,19192.45,6425.99,1024.3999999999999,10656.85,3258.3599999999997,1120.69,3524.38,10961.17,928.51,1515.0899999999997,6560.11,3380.24,4867.62,2292.73,18450.010000000002,4694.87,26108.579999999998,12101.75,8880.76,8541.26,11010.42,5236.74
2016-07-01,7266.280000000001,8081.87,116923.73000000001,22643.15,7785.799999999999,1211.83,13542.460000000001,3530.93,1319.43,4492.18,12955.26,1020.24,2002.7099999999996,8107.25,4256.23,5715.17,2768.44,26870.65,5331.3099999999995,35396.56,16331.76,11117.23,11270.4,12930.48,7255.03
2016-08-01,7275.300000000001,9201.1,117240.13,23685.4,8903.14,1405.61,14504.800000000001,3759.81,1521.8700000000001,4887.280000000001,14936.69,1120.8700000000001,2174.8799999999997,8704.4,4627.98,6573.55,3158.29,29591.11,5608.169999999999,36363.5,17853.91,11705.22,12441.42,13311.48,7818.179999999999
2016-09-01,8588.920000000002,10226.69,135750.77000000002,29581.13,10008.68,1575.59,16147.09,4101.7,1840.3000000000002,5632.080000000001,16826.8,1351.8500000000001,2325.24,9382.699999999999,4853.0599999999995,7854.09,3742.83,32453.49,6399.709999999999,42652.61,18926.61,13648.4,13610.46,14792.25,8832.47
2016-10-01,8886.370000000003,11400.130000000001,156779.28000000003,34199.82,11199.210000000001,1940.49,18512.99,4674.78,1983.9600000000003,6157.430000000001,20559.04,1461.45,2902.5299999999997,11593.39,5442.3099999999995,8694.4,4281.21,35950.64,7564.879999999999,49520.81,22488.33,15122.08,14766.66,17324.010000000002,9832.82
2016-11-01,10048.930000000002,12361.330000000002,172914.40000000002,41282.32,12514.080000000002,2179.19,20548.32,5720.91,2358.0200000000004,6964.630000000001,23629.06,1791.77,3114.0299999999997,12799.07,6256.33,9436.9,4820.64,44415.38,7726.859999999999,55291.61,25104.79,17270.51,16772.25,18847.350000000002,10996.24
2016-12-01,11179.560000000001,13344.720000000001,184167.14,45864.1,13833.870000000003,2345.09,22049.85,6011.389999999999,2509.2300000000005,7604.930000000001,24520.690000000002,1898.77,3411.8999999999996,14418.76,6531.63,10037.43,5416.1900000000005,45554.549999999996,8003.0999999999985,64048.93,28965.57,18710.28,18476.07,20423.97,11762.57
2017-01-01,11613.670000000002,15588.140000000001,201945.99000000002,51943.63,14731.400000000003,2529.46,24323.039999999997,6141.839999999999,2774.8100000000004,8141.130000000001,25581.010000000002,1993.9,3924.8799999999997,15636.11,7140.26,11082.58,6197.2300000000005,47235.71,8610.329999999998,67978.68,30918.67,20636.73,20437.62,21953.49,12546.85
2017-02-01,13225.440000000002,16837.36,218782.10000000003,56455.6,15705.760000000004,3023.37,25905.909999999996,7156.159999999999,2971.26,8875.830000000002,28277.83,2118.4700000000003,4361.41,16127.52,8227.25,12185.71,6541.870000000001,50473.619999999995,9457.179999999998,72355.87,33561.79,22376.04,22285.36,24959.57,13649.060000000001
2017-03-01,14920.920000000002,18084.940000000002,231589.35000000003,62413.89,16394.330000000005,3235.35,27914.359999999997,7788.359999999999,3275.9300000000003,9942.910000000002,30419.2,2233.8,4609.93,17647.64,9955.39,13125.3,6951.200000000001,56931.479999999996,10418.88,83065.09,38224.270000000004,24301.84,25804.89,26633.989999999998,14165.930000000002
2017-04-01,16304.490000000002,18773.410000000003,247811.98000000004,65313.36,18045.180000000004,3396.77,29452.769999999997,8698.179999999998,3396.32,10226.510000000002,32107.43,2334.8,4970.18,18446.62,10315.51,13973.22,7118.7300000000005,60493.39,11096.88,91956.09,39976.54,26039.36,28136.18,28071.26,14864.980000000001
2017-05-01,18153.760000000002,20467.940000000002,258003.35000000003,68721.18000000001,18906.810000000005,3724.4,31655.439999999995,8940.479999999998,3552.77,10758.990000000002,34121.57,2433.4100000000003,5081.280000000001,19678.84,11155.07,15363.769999999999,7462.56,64677.37,11628.31,96253.01999999999,44672.14,28489.48,32542.54,30035.03,16781.04
2017-06-01,18472.77,22048.050000000003,273295.08,72124.66,20073.990000000005,3877.0,33312.06,10831.319999999998,3700.38,11192.100000000002,36830.82,2650.3100000000004,5296.320000000001,21338.29,12109.64,16248.439999999999,7654.21,68676.98,12074.64,105919.45999999999,47627.43,30782.29,35110.32,31405.25,17849.25
2017-07-01,20159.190000000002,24264.890000000003,287175.92000000004,80088.36,21426.010000000006,4241.11,35966.869999999995,11972.869999999997,3991.81,12594.930000000002,39848.46,2757.5900000000006,5548.120000000001,22382.8,12855.529999999999,17268.42,8106.53,73856.19,12536.26,113925.15,54140.2,33055.81,37050.3,32935.8,19276.68
2017-08-01,20660.160000000003,24737.090000000004,289444.96,82200.77,22180.410000000007,4512.57,36221.99,12272.529999999997,4155.24,13125.380000000003,40567.159999999996,2974.580000000001,5709.660000000001,23050.219999999998,13880.369999999999,18038.17,8451.65,75968.94,13096.31,123801.82999999999,54862.6,35104.72,37230.62,33637.29,19749.510000000002
2017-09-01,21533.670000000002,25865.680000000004,318522.72000000003,89280.5,24095.460000000006,4828.62,37679.49,12705.859999999997,4316.94,13563.420000000004,43403.899999999994,3068.0300000000007,5837.040000000001,23586.3,14468.89,18898.679999999997,8945.91,80247.17,13575.8,130579.82999999999,56813.299999999996,37347.15,40402.75,35307.6,21033.2
2017-10-01,23472.370000000003,26458.580000000005,333981.29000000004,97391.77,25407.880000000005,5213.33,39225.5,13379.679999999997,4508.65,14032.610000000004,47437.48999999999,3258.890000000001,6241.200000000001,24527.78,15200.439999999999,19896.959999999995,9188.19,85063.0,13985.38,137707.25999999998,63817.60999999999,39426.93,42342.89,36605.19,22138.29
2017-11-01,24555.840000000004,27928.340000000004,348578.59,102782.55,26857.430000000004,5353.61,41518.18,14300.849999999997,4696.73,14925.400000000005,49884.95999999999,3377.8200000000006,6728.840000000001,25995.3,16406.57,20778.329999999994,9621.310000000001,93584.93,14766.8,156030.49,68397.71999999999,42599.59,43409.67,39376.53,23374.39
2017-12-01,25358.220000000005,29031.680000000004,354137.89,105580.25,27552.350000000002,5564.549999999999,42222.2,14615.179999999997,4854.839999999999,15358.690000000006,50898.90999999999,3484.7100000000005,6864.280000000001,26414.98,16939.05,21241.759999999995,9783.03,96154.93,15875.07,165232.84,70634.18999999999,44060.60999999999,45615.299999999996,40674.479999999996,25325.43
2018-01-01,26743.080000000005,30687.950000000004,373565.0,112010.18,29641.730000000003,5985.699999999999,43585.85,15421.159999999996,5183.379999999999,15659.250000000005,54962.359999999986,3934.3400000000006,7072.880000000001,28319.77,18262.53,22317.559999999994,10144.67,97091.87999999999,16293.72,181584.78,78202.9,47163.52999999999,48117.92,45463.67,26705.260000000002
2018-02-01,27639.060000000005,31165.000000000004,388341.96,120199.95,30971.480000000003,6179.269999999999,44700.159999999996,17024.469999999998,5700.219999999999,16530.550000000007,56990.69999999998,4246.400000000001,7771.620000000001,29525.13,19381.379999999997,23407.319999999992,11605.1,98853.70999999999,17053.39,190572.5,87459.62,49741.54999999999,50261.34,47350.4,28041.27
2018-03-01,29295.790000000005,33538.450000000004,397278.09,125878.88,34686.04,7371.859999999999,47187.17999999999,20841.589999999997,6366.089999999999,18543.510000000006,64128.01999999998,5199.06,8941.570000000002,33091.05,23902.42,25776.719999999994,13396.95,108950.26,18707.69,217623.22,106469.84,57134.36999999999,57368.88,54583.21,30791.16
2018-04-01,31495.600000000006,35784.79000000001,412610.98000000004,131931.6,39392.74,7865.529999999999,50808.30999999999,23483.929999999997,7148.2699999999995,19326.240000000005,69515.85999999999,5946.530000000001,10266.470000000001,36500.32,28971.1,28204.809999999994,15530.140000000001,117730.06,19319.01,250273.05,122782.95,63174.749999999985,63857.57,62379.45,33421.8
2018-05-01,33107.76000000001,38771.25000000001,423499.25000000006,139039.27000000002,43825.56,8485.439999999999,53315.33999999999,26771.85,7783.469999999999,20234.840000000004,75520.63999999998,6714.26,11509.410000000002,39187.24,31978.17,30367.529999999995,17208.120000000003,123867.64,20072.57,269946.95,136777.02,69207.04999999999,71828.54,70458.36,36166.36
2018-06-01,35311.22000000001,41497.75000000001,449751.06000000006,151301.98,48631.47,9486.759999999998,55642.18999999999,30123.649999999998,8557.56,20627.900000000005,81433.93999999999,7510.85,12900.230000000001,42189.36,38283.25,32566.359999999993,19227.820000000003,130254.58,21668.07,292507.64,159931.55,74450.01999999999,77714.43,79647.81,38873.98
2018-07-01,37790.36000000001,44930.920000000006,483107.35000000003,172449.40000000002,53975.28,10187.519999999999,59246.109999999986,33279.829999999994,9309.06,21609.750000000004,89529.06999999999,8433.89,14275.750000000002,44790.6,43523.27,34722.37999999999,21979.490000000005,138770.72,22564.97,335794.42000000004,173459.72999999998,81238.06999999999,85118.01999999999,88934.98,41924.58
2018-08-01,39115.100000000006,46180.86000000001,502289.49000000005,183192.30000000002,57014.11,10629.489999999998,61281.37999999998,34854.78999999999,9751.56,22135.730000000003,93429.04,9007.25,15333.530000000002,46676.439999999995,47200.95,36359.37999999999,23360.040000000005,146036.21,22954.47,352635.89,182502.46999999997,85570.43999999999,89090.48999999999,93932.37999999999,44041.69
2018-09-01,42678.420000000006,49563.850000000006,522210.32000000007,201196.75000000003,62274.62,11370.799999999997,65424.37999999998,36860.10999999999,10180.98,23454.640000000003,100942.65999999999,9662.14,16518.24,48557.479999999996,52258.88,38782.86999999999,25705.670000000006,154149.44999999998,23343.97,379374.06,197786.79999999996,90460.15,93150.98,100520.81,46443.29
